클래스 명,접근자,타입,변수명,설명,비고,,,클래스 명: 해당 변수가 속한 클래스명
,private,MovieDTO,movie,영화 정보,,,,
,private,LocalDateTime,startTime,상영 시작 시간,,,,
,private,LocalDateTime,endTime,상영 종료 시간,,,,
StatisticsDTO,private,Long,id,통계 고유번호,,,,
,private,ScheduleDTO,schedule,스케쥴 정보,이부분은 고민이 필요함. 전체 정보가 다 필요한가?,,,
,private,String,day,"ENUM ('SUN','MON', 'TUE', 'WED', 'THU', 'FRI', 'SAT'), 요일",,,,
,private,Long,revenue,수익,,,,
,private,Long,customerCount,관람객 수,,,,
ReservationDetailsDTO,private,String,id,예매 고유번호(uuid),,,,
,private,ScheduleDTO,schedule,스케쥴 정보,,,,
,private,String,phone,회원 번호,,,,
,private,LocalDateTime,reservationTime,예약 시간,,,,
,private,List<ReservationSeatDTO>,seats,예매한 좌석들의 정보,1개의 예매 내역에서 여러 시트를 확인해야 하므로 List 사용,,,
ReservationSeatDTO,private,Long,id,인덱스,,,,
,private,String,reservationId,예매 내역 아이디,"여긴 예외적으로 id값만 사용, 해당 좌석이 궁금하지 않음",,,
,private,String,seatNumber,좌석 번호,,,,
PaymentDetailsDTO,private,String,id,인덱스,,,,
,private,ReservationDetailsDTO,reservation,예매 정보,,,,
,private,BonusPolicyDTO,bouusPolicy,사용한 적립 정책,,,,
,private,CuponeDTO,couponNum,"사용한 할인 쿠폰, 없는 경우 null",,,,
,private,Long,cost,결제 금액,,,,
,private,LocalDateTime,time,결제 시간,,,,
,private,Long,usePoint,사용 포인트 기본값 0,,,,
,private,String,status,"ENUM ('PAY','RETURN','FAIL'), 결제 완료, 환불, 실패",,,,
PointHistoryDTO,private,Long,pointId,포인트 내역 인덱스,,,,
,private,PaymentDetailsDTO,payment,결제 정보,,,,
,private,MembersDTO,member,회원 정보,,,,
,private,String,type,"ENUM ('EARN', 'USE') 적립 / 사용",,,,
,private,Long,amountPoint,변경된 포인트,,,,
,private,LocalDateTime,createAt,포인트 변경일,,,,
CouponDTO,private,String,couponNum,쿠폰 번호,discount_policy + coupon,,,
,private,Boolean,status,"사용가능여부(true : 가능, false : 불가능)",,,,
,private,DiscountPolicyDTO,discountPolicy,할인 정책 정보,,,,
